id,job_id,requirement_type,requirement_value,is_required
126,176,education,Degree In Computer Science,1
127,177,education,Degree In Computer Science,1
128,178,education,Degree In Computer Science,1
129,180,education,Degree In Computer Science,1
130,181,education,Degree In Computer Science,1
131,182,education,Degree In A Quantitative Field Such As Mathematics,1
132,184,education,Degree In A Quantitative Field Such As Mathematics,1
133,185,education,Degree In A Quantitative Field Such As Mathematics,1
134,187,education,Degree In A Quantitative Field Such As Mathematics,1
135,188,education,Degree In A Quantitative Field Such As Mathematics,1
136,189,education,Degree In Data Science,1
137,190,education,Degree In Computer Science,1
138,191,education,Degree In Computer Science,1
139,192,education,Degree In Mba  Msc Is Added Advantage,1
140,195,education,Degree In Computer Science,1
141,196,education,Degree In Information Technology  Computer Science  Cybersecurity  Engineering Electrical,1
142,197,education,Degree In Information Technology,1
143,197,education,Masters  Bachelors Degree In Information Technology,1
144,199,education,Degree In Bsc,1
145,199,education,Degree In Mbamsc Is An Added Advantage,1
146,200,education,Bachelor Of Science In Information Technologycomputer Sciencetelecommunications Engineering Electrical,1
147,201,education,Bachelor Of Science In Information Technologycomputer Sciencetelecommunications Engineering Electrical,1
148,202,education,Degree In Business,1
149,203,education,Degree In Bsc Information Technologycomputer Sciencecybersecurityengineering Electrical,1
150,204,education,Degree In Business,1
151,205,education,Degree In Business,1
152,206,education,Degree In Business,1
153,220,education,Degree In Any Of The Following Specializations,1
154,221,education,Degree In Any Of The Following Specializations,1
155,223,education,Degree In Any Of The Following Specializations,1
156,224,education,Degree In Computer Science,1
157,225,education,Degree In Computer Science,1
158,226,education,Degree In Computer Science,1
159,227,education,Degree In Cybersecurity,1
160,228,education,Degree In Cybersecurity,1
161,229,education,Degree In Cybersecurity,1
162,230,education,Degree In Cybersecurity,1
163,233,education,Degree In Information Technology,1
164,234,education,Degree In Information Technology,1
165,235,education,Degree In Information Technology,1
166,243,education,Degree In Computer Science,1
167,244,education,Degree In Computer Science  Information Technology Nqf Level No,1
168,245,education,Degree In A Quantitative Field Experience,1
169,247,education,Degree In Commerce,1
170,258,education,Degree In Business Studies,1
171,259,education,Degree In Computer Science,1
172,260,education,Degree In Computer Science,1
173,261,education,Degree In Computer Science,1
174,262,education,Degree In Computer Science,1
175,263,education,Degree In Computer Science,1
176,264,education,Degree In Computer Science,1
177,265,education,Degree In Computer Science,1
178,266,education,Degree In Computer Science,1
179,267,education,Degree In Computer Science,1
180,268,education,Degree In Information Technology,1
181,269,education,Degree In Information Technology,1
182,270,education,Degree In Information Technology,1
183,271,education,Degree In Information Technology,1
184,272,education,Degree In Information Technology,1
185,273,education,Degree In Environmental Science,1
186,274,education,Degree In Environmental Science,1
187,275,education,Degree In Environmental Science,1
188,276,education,Degree In Environmental Science,1
189,277,education,Degree In Environmental Science,1
190,278,education,Degree In Environmental Science,1
191,279,education,Degree In Computer Science,1
192,280,education,Degree In Stem Or Related Field And Either,1
193,281,education,Degree In Stem Or Related Field And Either,1
194,287,education,Degree In Cybersecurity,1
195,288,education,Degree In Cybersecurity,1
196,290,education,Degree In Stem Or Related Field And Either,1
197,291,education,Degree In Stem Or Related Field And Either,1
198,292,education,Degree In Stem Or Related Field And Either,1
199,294,education,Diploma In Relevant Professional Qualification It,1
200,294,education,Degree In Information Technology Added Advantage,1
201,295,education,Degree In Computer Science Or It,1
202,297,education,Degree In Any Of The Following Disciplines,1
203,303,education,Diploma In Anaesthesia For Approximately 18 Months,1
204,303,education,Phd,1
205,306,education,Degree In Computer Science,1
206,315,education,Degree In Criminology,1
207,318,education,Degree In Information Technology,1
208,320,education,Degree In Information Technology,1
209,324,education,Degree In Computer Science,1
210,327,education,Diploma In Law From The Kenya School Of Law,1
211,327,education,Degree In Mechanical,1
212,327,education,Diploma In Mechanical,1
213,327,education,Bachelor Of Laws Llb Degree From A Recognized University,1
214,327,education,Bachelor Of Science Degree In Mechanical,1
215,327,education,Degree In Criminology Or Equivalent Qualification,1
216,332,education,Degree In Information Security Or A Related Field,1
217,336,education,Degree In Computer Science,1
218,337,education,Degree In Computer Science,1
219,338,education,Degree In Computer Science,1
220,339,education,Degree In Computer Science,1
221,341,education,Degree In Computer Science,1
222,342,education,Degree In Computer Science,1
223,343,education,Degree In Computer Science,1
224,344,education,Degree In Computer Science,1
225,345,education,Degree In Computer Science,1
226,346,education,Degree In Computer Science Or A Technical,1
227,349,education,Degree In The Above Fields Is An Added Advantage,1
228,349,education,Degree In Computer Science,1
229,351,education,Degree In Computer Science Or Technical,1
230,352,education,Degree In Computer Science,1
231,353,education,Degree In Computer Science Or Technical,1
232,355,education,Degree In Computer Science,1
233,356,education,Degree In Computer Science Or Technical,1
234,357,education,Degree In Computer Science Or Technical,1
235,358,education,Degree In Computer Science Or Technical,1
236,360,education,Degree In Software Engineering,1
